"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t95","pow_quail"
0,0,0,0.038,0.051,0.05,0.037,0.043
0,0.2,0,0.075,0.058,0.374,0.681,0.985
0,0.4,0,0.105,0.056,0.788,0.988,1
0,0.6,0,0.113,0.052,0.959,1,1
0,0.8,0,0.127,0.06,0.986,1,1
0,1,0,0.148,0.066,0.996,1,1
0,1.2,0,0.146,0.057,1,1,1
0,1.4,0,0.158,0.044,1,1,1
0,1.6,0,0.169,0.056,1,1,1
0,1.8,0,0.15,0.072,1,1,1
0,2,0,0.186,0.059,1,1,1
0,2.2,0,0.194,0.049,1,1,1
0,2.4,0,0.206,0.06,1,1,1
0,2.6,0,0.187,0.061,1,1,1
0,2.8,0,0.196,0.058,1,1,1
0,3,0,0.199,0.061,1,1,1
0.2,0,0,1,1,1,1,0.061
0.2,0.2,0,1,1,1,1,0.987
0.2,0.4,0,1,1,1,1,1
0.2,0.6,0,1,1,1,1,1
0.2,0.8,0,1,1,1,1,1
0.2,1,0,1,1,1,1,1
0.2,1.2,0,1,1,1,1,1
0.2,1.4,0,1,0.998,1,1,1
0.2,1.6,0,0.999,0.996,1,1,1
0.2,1.8,0,1,0.988,1,1,1
0.2,2,0,0.997,0.972,1,1,1
0.2,2.2,0,0.994,0.959,1,1,1
0.2,2.4,0,0.994,0.934,1,1,1
0.2,2.6,0,0.988,0.919,1,1,1
0.2,2.8,0,0.969,0.865,1,1,1
0.2,3,0,0.977,0.851,1,1,1
0.4,0,0,1,1,1,1,0.056
0.4,0.2,0,1,1,1,1,0.986
0.4,0.4,0,1,1,1,1,1
0.4,0.6,0,1,1,1,1,1
0.4,0.8,0,1,1,1,1,1
0.4,1,0,1,1,1,1,1
0.4,1.2,0,1,1,1,1,1
0.4,1.4,0,1,1,1,1,1
0.4,1.6,0,1,1,1,1,1
0.4,1.8,0,1,1,1,1,1
0.4,2,0,1,1,1,1,1
0.4,2.2,0,1,1,1,1,1
0.4,2.4,0,1,1,1,1,1
0.4,2.6,0,1,1,1,1,1
0.4,2.8,0,1,1,1,1,1
0.4,3,0,1,1,1,1,1
0.6,0,0,1,1,1,1,0.054
0.6,0.2,0,1,1,1,1,0.985
0.6,0.4,0,1,1,1,1,1
0.6,0.6,0,1,1,1,1,1
0.6,0.8,0,1,1,1,1,1
0.6,1,0,1,1,1,1,1
0.6,1.2,0,1,1,1,1,1
0.6,1.4,0,1,1,1,1,1
0.6,1.6,0,1,1,1,1,1
0.6,1.8,0,1,1,1,1,1
0.6,2,0,1,1,1,1,1
0.6,2.2,0,1,1,1,1,1
0.6,2.4,0,1,1,1,1,1
0.6,2.6,0,1,1,1,1,1
0.6,2.8,0,1,1,1,1,1
0.6,3,0,1,1,1,1,1
0.8,0,0,1,1,1,1,0.053
0.8,0.2,0,1,1,1,1,0.99
0.8,0.4,0,1,1,1,1,1
0.8,0.6,0,1,1,1,1,1
0.8,0.8,0,1,1,1,1,1
0.8,1,0,1,1,1,1,1
0.8,1.2,0,1,1,1,1,1
0.8,1.4,0,1,1,1,1,1
0.8,1.6,0,1,1,1,1,1
0.8,1.8,0,1,1,1,1,1
0.8,2,0,1,1,1,1,1
0.8,2.2,0,1,1,1,1,1
0.8,2.4,0,1,1,1,1,1
0.8,2.6,0,1,1,1,1,1
0.8,2.8,0,1,1,1,1,1
0.8,3,0,1,1,1,1,1
1,0,0,0.999,0.999,0.999,0.999,0.043
1,0.2,0,1,1,1,1,0.988
1,0.4,0,1,1,1,1,1
1,0.6,0,1,1,1,1,1
1,0.8,0,1,1,1,1,1
1,1,0,1,1,1,1,1
1,1.2,0,1,1,1,1,1
1,1.4,0,1,1,1,1,1
1,1.6,0,1,1,1,1,1
1,1.8,0,1,1,1,1,1
1,2,0,1,1,1,1,1
1,2.2,0,1,1,1,1,1
1,2.4,0,1,1,1,1,1
1,2.6,0,1,1,1,1,1
1,2.8,0,1,1,1,1,1
1,3,0,1,1,1,1,1
1.2,0,0,0.895,0.895,0.895,0.895,0.059
1.2,0.2,0,1,1,1,1,0.991
1.2,0.4,0,1,1,1,1,1
1.2,0.6,0,1,1,1,1,1
1.2,0.8,0,1,1,1,1,1
1.2,1,0,1,1,1,1,1
1.2,1.2,0,1,1,1,1,1
1.2,1.4,0,1,1,1,1,1
1.2,1.6,0,1,1,1,1,1
