"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t90","pow_rq.t95","pow_quail"
0,0,4,0.066,0.066,0.05,0.064,0.061,0
0,0.2,4,0.994,0.872,0.979,0.975,0.938,0
0,0.4,4,1,1,1,1,1,0
0,0.6,4,1,1,1,1,1,0
0,0.8,4,1,1,1,1,1,0
0,1,4,1,1,1,1,1,0
0,1.2,4,1,1,1,1,1,0
0,1.4,4,1,1,1,1,1,0
0,1.6,4,1,1,1,1,1,0
0,1.8,4,1,1,1,1,1,0
0,2,4,1,1,1,1,1,0
0,2.2,4,1,1,1,1,1,0
0,2.4,4,1,1,1,1,1,0
0,2.6,4,1,1,1,1,1,0
0,2.8,4,1,1,1,1,1,0
0,3,4,1,1,1,1,1,0
0.2,0,4,1,1,1,1,1,0
0.2,0.2,4,1,1,1,1,1,0
0.2,0.4,4,1,1,1,1,1,0
0.2,0.6,4,1,1,1,1,1,0
0.2,0.8,4,1,1,1,1,1,0
0.2,1,4,1,1,1,1,1,0
0.2,1.2,4,1,1,1,1,1,0
0.2,1.4,4,1,1,1,1,1,0
0.2,1.6,4,1,1,1,1,1,0
0.2,1.8,4,1,1,1,1,1,0
0.2,2,4,1,1,1,1,1,0
0.2,2.2,4,1,1,1,1,1,0
0.2,2.4,4,1,1,1,1,1,0
0.2,2.6,4,1,1,1,1,1,0
0.2,2.8,4,1,1,1,1,1,0
0.2,3,4,1,1,1,1,1,0
0.4,0,4,1,1,1,1,1,0
0.4,0.2,4,1,1,1,1,1,0
0.4,0.4,4,1,1,1,1,1,0
0.4,0.6,4,1,1,1,1,1,0
0.4,0.8,4,1,1,1,1,1,0
0.4,1,4,1,1,1,1,1,0
0.4,1.2,4,1,1,1,1,1,0
0.4,1.4,4,1,1,1,1,1,0
0.4,1.6,4,1,1,1,1,1,0
0.4,1.8,4,1,1,1,1,1,0
0.4,2,4,1,1,1,1,1,0
0.4,2.2,4,1,1,1,1,1,0
0.4,2.4,4,1,1,1,1,1,0
0.4,2.6,4,1,1,1,1,1,0
0.4,2.8,4,1,1,1,1,1,0
0.4,3,4,1,1,1,1,1,0
0.6,0,4,1,1,1,1,1,0
0.6,0.2,4,1,1,1,1,1,0
0.6,0.4,4,1,1,1,1,1,0
0.6,0.6,4,1,1,1,1,1,0
0.6,0.8,4,1,1,1,1,1,0
0.6,1,4,1,1,1,1,1,0
0.6,1.2,4,1,1,1,1,1,0
0.6,1.4,4,1,1,1,1,1,0
0.6,1.6,4,1,1,1,1,1,0
0.6,1.8,4,1,1,1,1,1,0
0.6,2,4,1,1,1,1,1,0
0.6,2.2,4,1,1,1,1,1,0
0.6,2.4,4,1,1,1,1,1,0
0.6,2.6,4,1,1,1,1,1,0
0.6,2.8,4,1,1,1,1,1,0
