"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t90","pow_rq.t95"
0,0,4,0.032,0.041,0.047,0.047,0.046
0,0.01,4,0.071,0.048,0.059,0.062,0.062
0,0.02,4,0.069,0.068,0.066,0.069,0.06
0,0.03,4,0.117,0.076,0.119,0.091,0.099
0,0.04,4,0.206,0.112,0.164,0.176,0.144
0,0.05,4,0.236,0.145,0.188,0.203,0.189
0,0.06,4,0.337,0.178,0.27,0.269,0.241
0,0.07,4,0.414,0.216,0.328,0.331,0.286
0,0.08,4,0.51,0.296,0.42,0.446,0.362
0,0.09,4,0.614,0.344,0.484,0.512,0.443
0,0.1,4,0.712,0.382,0.57,0.602,0.512
0,0.11,4,0.759,0.444,0.66,0.646,0.584
0,0.12,4,0.844,0.539,0.732,0.745,0.648
0,0.13,4,0.855,0.542,0.749,0.773,0.7
0,0.14,4,0.907,0.624,0.819,0.834,0.753
0,0.15,4,0.939,0.677,0.87,0.864,0.809
0,0.16,4,0.96,0.728,0.912,0.917,0.869
0,0.17,4,0.971,0.773,0.899,0.928,0.881
0,0.18,4,0.986,0.817,0.946,0.962,0.903
0,0.19,4,0.993,0.822,0.964,0.967,0.934
0,0.2,4,0.992,0.866,0.968,0.974,0.961
0,0.21,4,0.996,0.898,0.985,0.983,0.963
0,0.22,4,0.998,0.925,0.989,0.991,0.978
0,0.23,4,0.999,0.93,0.985,0.991,0.985
0,0.24,4,1,0.96,0.995,0.999,0.98
0,0.25,4,0.998,0.954,0.994,0.997,0.99
0,0.26,4,1,0.973,1,0.999,0.995
0,0.27,4,1,0.969,1,0.999,0.996
0,0.28,4,1,0.981,0.998,0.999,0.999
0,0.29,4,1,0.99,0.999,0.999,0.998
0,0.3,4,1,0.991,1,1,0.999
0,0.31,4,1,0.991,1,1,0.999
0,0.32,4,1,0.993,0.999,1,1
0,0.33,4,1,0.999,1,1,1
0,0.34,4,1,0.997,1,1,0.999
0,0.35,4,1,0.998,1,1,1
0,0.36,4,1,0.998,1,1,1
0,0.37,4,1,1,1,1,1
0,0.38,4,1,1,1,1,1
0,0.39,4,1,1,1,1,1
0,0.4,4,1,1,1,1,1
0,0.41,4,1,1,1,1,1
0,0.42,4,1,1,1,1,1
0,0.43,4,1,1,1,1,1
