"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t90","pow_rq.t95"
0,0,0,0.06,0.062,0.073,0.069,0.069
0,0.02,0,0.053,0.051,0.056,0.056,0.059
0,0.04,0,0.047,0.04,0.084,0.103,0.082
0,0.06,0,0.044,0.055,0.11,0.155,0.153
0,0.08,0,0.054,0.054,0.123,0.221,0.256
0,0.1,0,0.05,0.061,0.19,0.31,0.341
0,0.12,0,0.05,0.045,0.229,0.423,0.409
0,0.14,0,0.057,0.06,0.254,0.507,0.523
0,0.16,0,0.039,0.047,0.295,0.57,0.616
0,0.18,0,0.037,0.044,0.389,0.692,0.692
0,0.2,0,0.064,0.056,0.434,0.76,0.796
0,0.22,0,0.043,0.05,0.484,0.852,0.84
0,0.24,0,0.042,0.055,0.585,0.876,0.886
0,0.26,0,0.062,0.066,0.64,0.911,0.916
0,0.28,0,0.049,0.045,0.671,0.939,0.935
0,0.3,0,0.063,0.059,0.71,0.961,0.965
0,0.32,0,0.046,0.062,0.728,0.974,0.983
0,0.34,0,0.055,0.046,0.788,0.984,0.983
0,0.36,0,0.049,0.05,0.806,0.98,0.989
0,0.38,0,0.05,0.048,0.845,0.992,0.997
0,0.4,0,0.061,0.056,0.887,0.995,0.998
0,0.42,0,0.044,0.039,0.896,0.993,0.998
0,0.44,0,0.048,0.063,0.92,0.998,0.998
0,0.46,0,0.05,0.052,0.933,0.999,0.999
0,0.48,0,0.044,0.057,0.949,1,1
0,0.5,0,0.048,0.056,0.946,1,1
0,0.52,0,0.049,0.046,0.965,1,1
0,0.54,0,0.055,0.056,0.969,0.999,0.999
0,0.56,0,0.054,0.055,0.978,0.999,1
0,0.58,0,0.061,0.05,0.981,1,1
0,0.6,0,0.059,0.055,0.989,1,1
0,0.62,0,0.06,0.055,0.987,1,1
0,0.64,0,0.066,0.049,0.992,1,1
0,0.66,0,0.052,0.046,0.994,1,1
0,0.68,0,0.065,0.056,0.994,1,1
0,0.7,0,0.057,0.041,0.997,1,1
0,0.72,0,0.058,0.056,0.996,1,1
0,0.74,0,0.057,0.049,0.998,1,1
0,0.76,0,0.054,0.043,0.999,1,1
0,0.78,0,0.069,0.053,0.996,1,1
0,0.8,0,0.069,0.057,0.997,1,1
0,0.82,0,0.062,0.044,1,1,1
0,0.84,0,0.064,0.045,0.998,1,1
0,0.86,0,0.062,0.063,0.999,1,1
0,0.88,0,0.071,0.056,0.999,1,1
