"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t90","pow_rq.t95","pow_quail"
0.2,0,0,1,1,1,1,1,0.0494
0.2,0.2,0,1,1,1,1,1,0.9948
0.2,0.4,0,1,1,1,1,1,1
0.2,0.6,0,1,1,1,1,1,1
0.2,0.8,0,1,1,1,1,1,1
0.2,1,0,1,1,1,1,1,1
0.2,1.2,0,1,1,1,1,1,1
0.2,1.4,0,1,1,1,1,1,1
0.2,1.6,0,1,1,1,1,1,1
0.2,1.8,0,0.999,0.9986,1,1,1,1
0.2,2,0,0.9984,0.9986,1,1,1,1
0.2,2.2,0,0.9952,0.9942,1,1,1,1
0.2,2.4,0,0.9888,0.9898,1,1,1,1
0.2,2.6,0,0.9788,0.9806,1,1,1,1
0.2,2.8,0,0.9664,0.9712,1,1,1,1
0.2,3,0,0.949,0.9606,1,1,1,1
