"meffect","sdeffect","skew","pow_lreg","pow_rq.t50","pow_rq.t75","pow_rq.t90","pow_rq.t95","pow_quail"
0,0,0,0.047,0.045,0.063,0.044,0.044,0
0,0.2,0,0.048,0.048,0.43,0.765,0.772,0
0,0.4,0,0.05,0.062,0.869,0.996,0.996,0
0,0.6,0,0.075,0.05,0.976,1,1,0
0,0.8,0,0.041,0.042,0.999,1,1,0
0,1,0,0.07,0.06,1,1,1,0
0,1.2,0,0.061,0.054,1,1,1,0
0,1.4,0,0.073,0.055,1,1,1,0
0,1.6,0,0.067,0.048,1,1,1,0
0,1.8,0,0.074,0.054,1,1,1,0
0,2,0,0.065,0.052,1,1,1,0
0,2.2,0,0.071,0.053,1,1,1,0
0,2.4,0,0.088,0.046,1,1,1,0
0,2.6,0,0.082,0.058,1,1,1,0
0,2.8,0,0.077,0.063,1,1,1,0
0,3,0,0.078,0.065,1,1,1,0
0.2,0,0,1,1,1,1,1,0
0.2,0.2,0,1,1,1,1,1,0
0.2,0.4,0,1,1,1,1,1,0
0.2,0.6,0,1,1,1,1,1,0
0.2,0.8,0,1,1,1,1,1,0
0.2,1,0,1,1,1,1,1,0
0.2,1.2,0,1,1,1,1,1,0
0.2,1.4,0,1,0.999,1,1,1,0
0.2,1.6,0,1,1,1,1,1,0
0.2,1.8,0,0.999,0.998,1,1,1,0
0.2,2,0,0.996,0.999,1,1,1,0
0.2,2.2,0,0.995,0.996,1,1,1,0
0.2,2.4,0,0.986,0.988,1,1,1,0
0.2,2.6,0,0.982,0.978,1,1,1,0
0.2,2.8,0,0.962,0.965,1,1,1,0
0.2,3,0,0.943,0.959,1,1,1,0
0.4,0,0,1,1,1,1,1,0
